TITLE A	TITLE B	SIMILARITY
"Smartphone Samsung Galaxy S8 Dual Chip Android 7.0 Tela 5.8"" Octa-Core 2.3GHz 64GB 4G Câmera 12MP - Prata"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core - CLARO"	[[0.90950859]]
"Smartphone Samsung Galaxy S8 Dual Chip Android 7.0 Tela 5.8"" Octa-Core 2.3GHz 64GB 4G Câmera 12MP - Prata"	"Smartphone Samsung Galaxy S8+ Dual Chip Android 7.0 Tela 6.2"" Octa-Core 2.3 GHz 64GB Câmera 12MP - Preto"	[[0.90369611]]
"Smartphone Samsung Galaxy S8 Dual Chip Android 7.0 Tela 5.8"" Octa-Core 2.3GHz 64GB 4G Câmera 12MP - Ametista"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.90950859]]
"Smartphone Samsung Galaxy S8 Dual Chip Android 7.0 Tela 5.8"" Octa-Core 2.3GHz 64GB 4G Câmera 12MP - Ametista"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Ametista com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.90950859]]
"Smartphone Samsung Galaxy S8 Dual Chip Android 7.0 Tela 5.8"" Octa-Core 2.3GHz 64GB 4G Câmera 12MP - Ametista"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Preto com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.90950859]]
"Smartphone Samsung Galaxy S8 Dual Chip Android 7.0 Tela 5.8"" Octa-Core 2.3GHz 64GB 4G Câmera 12MP - Ametista"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core - CLARO"	[[0.90950859]]
"Smartphone Samsung Galaxy S8 Dual Chip Android 7.0 Tela 5.8"" Octa-Core 2.3GHz 64GB 4G Câmera 12MP - Ametista"	"Smartphone Samsung Galaxy S8+ Dual Chip Android 7.0 Tela 6.2"" Octa-Core 2.3 GHz 64GB Câmera 12MP - Preto"	[[0.90369611]]
"Smartphone Samsung Galaxy S8 Dual Chip Android 7.0 Tela 5.8"" Octa-Core 2.3GHz 64GB 4G Câmera 12MP - Ametista"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.90950859]]
"Smartphone Samsung Galaxy S8 Dual Chip Android 7.0 Tela 5.8"" Octa-Core 2.3GHz 64GB 4G Câmera 12MP - Ametista"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Ametista com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.90950859]]
"Smartphone Samsung Galaxy S8 Dual Chip Android 7.0 Tela 5.8"" Octa-Core 2.3GHz 64GB 4G Câmera 12MP - Ametista"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Preto com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.90950859]]
"Smartphone Samsung Galaxy S8 Dual Chip Android 7.0 Tela 5.8"" Octa-Core 2.3GHz 64GB 4G Câmera 12MP - Ametista"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core - CLARO"	[[0.90950859]]
"Smartphone Samsung Galaxy S8 Dual Chip Android 7.0 Tela 5.8"" Octa-Core 2.3GHz 64GB 4G Câmera 12MP - Ametista"	"Smartphone Samsung Galaxy S8+ Dual Chip Android 7.0 Tela 6.2"" Octa-Core 2.3 GHz 64GB Câmera 12MP - Preto"	[[0.90369611]]
"Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Câmera 13MP com TV - Prata"	"Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Câmera 13MP com TV - Dourado"	[[0.91925472]]
"Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Câmera 13MP com TV - Preto"	"Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Câmera 13MP com TV - Dourado"	[[1.]]
Smartphone Samsung Galaxy S8+ 64GB - Prata + Gear VR com controle 2	Smartphone Samsung Galaxy S8+ 64GB - Preto + Gear VR com controle 2	[[1.]]
Smartphone Samsung Galaxy S8+ 64GB - Dourado + Gear VR com controle	Smartphone Samsung Galaxy S8+ 64GB - Preto + Gear VR com controle 2	[[1.]]
Motorola Moto G6 Plus 64gb Azul Topázio	Smartphone Motorola Moto G6 Plus 64gb Azul Topázio	[[0.93541435]]
"Smartphone Samsung Galaxy S8+ Dual Chip Android 7.0 Tela 6,2"" Octa-Core 2.3 GHz 64GB 4G Câmera 8MP - Dourado"	"Smartphone Samsung Galaxy S8+ Dual Chip Android 7.0 Tela 6.2"" Octa-Core 2.3 GHz 64GB Câmera 12MP - Preto"	[[0.90369611]]
Celular Motorola Moto Z3 Play 64gb Dual Android8.1 Indigo	Celular Motorola Moto Z3 Play 64gb Indigo	[[0.93541435]]
Celular Motorola Moto Z3 Play 64gb Dual Android8.1 Indigo	Celular Motorola Moto Z3 Play 64gb Indigo	[[0.93541435]]
Iphone X 256gb	Iphone 8 256gb Dourado	[[1.]]
Usado: iPhone 4S 8GB Preto	Test Item (no Ofertar) Iphone 4 8gb Nuevo	[[1.]]
""
Probably similars
"Smartphone Samsung Galaxy S10e 128GB Dual Chip Android 9.0 Tela 5,8"" Octa-Core 4G Câmera 12MP + 16MP - Preto"	"Smartphone Samsung Galaxy S9+ Dual Chip Android 8.0 Tela 6.2"" Octa-Core 2.8GHz 128GB 4G Câmera 12MP Dual Cam - Ultravioleta"	[[0.81831709]]
"Smartphone Samsung Galaxy M20 64GB Dual Chip Android 8.1 Tela 6.3"" Octa-Core 4G Câmera 13MP + 5MP - Preto"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.81409158]]
"Smartphone Samsung Galaxy M20 64GB Dual Chip Android 8.1 Tela 6.3"" Octa-Core 4G Câmera 13MP + 5MP - Preto"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Ametista com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.81409158]]
"Smartphone Samsung Galaxy M20 64GB Dual Chip Android 8.1 Tela 6.3"" Octa-Core 4G Câmera 13MP + 5MP - Preto"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Preto com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.81409158]]
"Smartphone Samsung Galaxy M20 64GB Dual Chip Android 8.1 Tela 6.3"" Octa-Core 4G Câmera 13MP + 5MP - Preto"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core - CLARO"	[[0.81409158]]
"Smartphone Samsung Galaxy M20 64GB Dual Chip Android 8.1 Tela 6.3"" Octa-Core 4G Câmera 13MP + 5MP - Azul"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.81409158]]
"Smartphone Samsung Galaxy M20 64GB Dual Chip Android 8.1 Tela 6.3"" Octa-Core 4G Câmera 13MP + 5MP - Azul"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Ametista com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.81409158]]
"Smartphone Samsung Galaxy M20 64GB Dual Chip Android 8.1 Tela 6.3"" Octa-Core 4G Câmera 13MP + 5MP - Azul"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Preto com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.81409158]]
"Smartphone Samsung Galaxy M20 64GB Dual Chip Android 8.1 Tela 6.3"" Octa-Core 4G Câmera 13MP + 5MP - Azul"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core - CLARO"	[[0.81409158]]
"Smartphone Samsung Galaxy S10e 128GB Dual Chip Android 9.0 Tela 5,8"" Octa-Core 4G Câmera 12MP + 16MP - Azul"	"Smartphone Samsung Galaxy S9+ Dual Chip Android 8.0 Tela 6.2"" Octa-Core 2.8GHz 128GB 4G Câmera 12MP Dual Cam - Ultravioleta"	[[0.81831709]]
"Smartphone Samsung Galaxy A30 64GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera 16MP + 5MP - Preto"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.81409158]]
"Smartphone Samsung Galaxy A30 64GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera 16MP + 5MP - Preto"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Ametista com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.81409158]]
"Smartphone Samsung Galaxy A30 64GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera 16MP + 5MP - Preto"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Preto com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.81409158]]
"Smartphone Samsung Galaxy A30 64GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera 16MP + 5MP - Preto"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core - CLARO"	[[0.81409158]]
"Smartphone Samsung Galaxy A20 32GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera Dupla 13MP + 5MP - Preto"	"Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Câmera 13MP com TV - Dourado"	[[0.80295507]]
"Smartphone Samsung Galaxy A30 64GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera 16MP + 5MP - Azul"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.81409158]]
"Smartphone Samsung Galaxy A30 64GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera 16MP + 5MP - Azul"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Ametista com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.81409158]]
"Smartphone Samsung Galaxy A30 64GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera 16MP + 5MP - Azul"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Preto com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.81409158]]
"Smartphone Samsung Galaxy A30 64GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera 16MP + 5MP - Azul"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core - CLARO"	[[0.81409158]]
"Smartphone Samsung Galaxy A10 32GB Dual Chip Android 9.0 Tela 6.2"" Octa-Core 4G Câmera 13MP - Preto"	"Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Câmera 13MP com TV - Dourado"	[[0.85839508]]
"Smartphone Samsung Galaxy A10 32GB Dual Chip Android 9.0 Tela 6.2"" Octa-Core 4G Câmera 13MP - Azul"	"Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Câmera 13MP com TV - Dourado"	[[0.85839508]]
"Smartphone Samsung Galaxy A10 32GB Dual Chip Android 9.0 Tela 6.2"" Octa-Core 4G Câmera 13MP - Vermelho"	"Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Câmera 13MP com TV - Dourado"	[[0.85839508]]
"Smartphone Samsung Galaxy S10e 128GB Dual Chip Android 9.0 Tela 5,8"" Octa-Core 4G Câmera 12MP + 16MP - Amarelo"	"Smartphone Samsung Galaxy S9+ Dual Chip Android 8.0 Tela 6.2"" Octa-Core 2.8GHz 128GB 4G Câmera 12MP Dual Cam - Ultravioleta"	[[0.81831709]]
"Smartphone Samsung Galaxy A20 32GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera Dupla 13MP + 5MP - Vermelho"	"Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Câmera 13MP com TV - Dourado"	[[0.80295507]]
Smartphone Motorola Moto E5 Plus XT1924-3 Dual SIM 32GB Preto	Smartphone Motorola Moto E5 Plus Dual Chip Prom Dia Das Cria	[[0.80178373]]
"Smartphone Samsung Galaxy A8 Plus Dual Chip Android 7.1 Tela 6"" Octa-Core 2.2GHz 64GB 4G Câmera 16MP - Preto"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.82352941]]
"Smartphone Samsung Galaxy A8 Plus Dual Chip Android 7.1 Tela 6"" Octa-Core 2.2GHz 64GB 4G Câmera 16MP - Preto"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Ametista com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.82352941]]
"Smartphone Samsung Galaxy A8 Plus Dual Chip Android 7.1 Tela 6"" Octa-Core 2.2GHz 64GB 4G Câmera 16MP - Preto"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Preto com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.82352941]]
"Smartphone Samsung Galaxy A8 Plus Dual Chip Android 7.1 Tela 6"" Octa-Core 2.2GHz 64GB 4G Câmera 16MP - Preto"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core - CLARO"	[[0.82352941]]
"Smartphone Motorola Moto E5 Dual Chip Android Oreo - 8.0 Tela 5.7"" Quad-Core 1.4 GHz 16GB 4G Câmera 13MP - Platinum"	"Smartphone Motorola Moto E5 XT1944 Platinum com 16GB, Tela 5.7"", Dual Chip, Android 8.0, 4G, Câmera 13MP, Processador Quad-Core e 2GB de RAM"	[[0.8229512]]
"Smartphone Samsung Galaxy A8 Plus Dual Chip Android 7.1 Tela 6"" Octa-Core 2.2GHz 64GB 4G Câmera 16MP - Ametista"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.82352941]]
"Smartphone Samsung Galaxy A8 Plus Dual Chip Android 7.1 Tela 6"" Octa-Core 2.2GHz 64GB 4G Câmera 16MP - Ametista"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Ametista com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.82352941]]
"Smartphone Samsung Galaxy A8 Plus Dual Chip Android 7.1 Tela 6"" Octa-Core 2.2GHz 64GB 4G Câmera 16MP - Ametista"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Preto com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.82352941]]
"Smartphone Samsung Galaxy A8 Plus Dual Chip Android 7.1 Tela 6"" Octa-Core 2.2GHz 64GB 4G Câmera 16MP - Ametista"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core - CLARO"	[[0.82352941]]
"Smartphone Samsung Galaxy J6 64GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Câmera 13MP - Preto"	"Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Câmera 13MP com TV - Dourado"	[[0.80295507]]
"Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Câmera 13MP - Violeta"	"Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Câmera 13MP com TV - Dourado"	[[0.83462233]]
Usado: Iphone 8 Apple 256gb Dourado	Iphone 8 256gb Dourado	[[0.81649658]]
Usado: Iphone 8 Apple 256gb Dourado	Iphone Apple X 256gb Orig Grt Apple Leia Anuncio Original	[[0.81649658]]
Usado: Iphone 8 Apple 64gb Dourado	Iphone X 64gb Apple Lacrado	[[0.8660254]]
Usado: Iphone 8 Apple 64gb Dourado	Apple Iphone 6 64gb Rfb Lacrado! Oferta Imperdível! Confira!	[[0.8660254]]
Smartphone Samsung Galaxy S8 64GB - Preto	Smartphone Samsung Galaxy S8+ 64GB - Preto + Gear VR com controle 2	[[0.84515425]]
Usado: Moto Z2 Play Motorola Xt1710 Dual 64gb Platinum	"Smartphone Motorola Moto Z2 Play Xt1710 4gb/64gb 5.5"" Dual"	[[0.82495791]]
Smartphone Motorola Moto G6 Plus XT1926-9 - 64GB - Dual-Sim - Azul	Smartphone Motorola Moto G6 Plus 64gb Indigo Xt1926/i	[[0.82495791]]
Usado: Iphone 6 Apple 16GB Prata	Smartphone Apple Iphone 5c 16gb Original Apple	[[0.81649658]]
Smartphone Motorola Moto E5 Dual Chip 16GB - Ouro	Smartphone Motorola Moto E5 Plus Dual Chip Prom Dia Das Cria	[[0.80178373]]
Usado: Iphone 8 Apple 64gb Vermelho	Iphone X 64gb Apple Lacrado	[[0.8660254]]
Usado: Iphone 8 Apple 64gb Vermelho	Apple Iphone 6 64gb Rfb Lacrado! Oferta Imperdível! Confira!	[[0.8660254]]
Usado: Motorola Moto Z3 Play 64gb Indigo Excelente - Trocafone	Celular Motorola Moto Z3 Play 64gb Indigo	[[0.80178373]]
"Smartphone Samsung Galaxy S8+ Dual Chip Android 7.0 Tela 6.2"" Octa-Core 2.3 GHz 64GB Câmera 12MP - Prata"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.87671401]]
"Smartphone Samsung Galaxy S8+ Dual Chip Android 7.0 Tela 6.2"" Octa-Core 2.3 GHz 64GB Câmera 12MP - Prata"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Ametista com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.87671401]]
"Smartphone Samsung Galaxy S8+ Dual Chip Android 7.0 Tela 6.2"" Octa-Core 2.3 GHz 64GB Câmera 12MP - Prata"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Preto com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.87671401]]
"Smartphone Samsung Galaxy S8+ Dual Chip Android 7.0 Tela 6.2"" Octa-Core 2.3 GHz 64GB Câmera 12MP - Prata"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core - CLARO"	[[0.87671401]]
Galaxy J5 Pro Samsung J530g/ds 32gb Preto Seminovo	Celular Samsung Galaxy J5 Pro Sm-j530g/ds 32gb Dourado	[[0.82495791]]
"Smartphone Motorola Moto Z2 Play Gamepad  Edition Dual Chip Android 7.0 Tela 5.5"" Octa-Core 64GB Wi-Fi 4G Câmera 12MP - Platinum"	"Smartphone Motorola Moto Z2 Play Sound Edition Platinum 64GB, Tela 5.5"", Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM"	[[0.82951506]]
"Smartphone Motorola Moto Z2 Play Gamepad  Edition Dual Chip Android 7.0 Tela 5.5"" Octa-Core 64GB Wi-Fi 4G Câmera 12MP - Platinum"	"Smartphone Motorola Moto Z2 Play Projector Edition Platinum 64GB, Tela 5.5"", Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM"	[[0.82951506]]
"Smartphone Motorola Moto Z2 Play Gamepad  Edition Dual Chip Android 7.0 Tela 5.5"" Octa-Core 64GB Wi-Fi 4G Câmera 12MP - Platinum"	"Smartphone Motorola Moto Z2 Play Power Edition Platinum 64GB, Tela 5.5"", Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM"	[[0.8104432]]
"Smartphone Motorola Moto Z2 Play Gamepad  Edition Dual Chip Android 7.0 Tela 5.5"" Octa-Core 64GB Wi-Fi 4G Câmera 12MP - Platinum"	"Smartphone Motorola Moto Z2 Play GamePad Edition Platinum 64GB, Tela 5.5"", Dual Chip, Câmera 12MP, Android 7.1, Processador Octa-Core e 4GB de RAM"	[[0.82951506]]
"Smartphone Samsung Galaxy J4 16gb, Tela 5.5"", Dual Chip, 4g, Câmera 13mp, Android 8.0, Processador Quad Core E Ram De 2gb - Dourado"	"Smartphone Motorola Moto E5 XT1944 Ouro com 16GB, Tela 5.7"", Dual Chip, Android 8.0, 4G, Câmera 13MP, Processador Quad-Core e 2GB de RAM"	[[0.80100188]]
"Smartphone Samsung Galaxy J4 16gb, Tela 5.5"", Dual Chip, 4g, Câmera 13mp, Android 8.0, Processador Quad Core E Ram De 2gb - Dourado"	"Smartphone Motorola Moto E5 XT1944 Platinum com 16GB, Tela 5.7"", Dual Chip, Android 8.0, 4G, Câmera 13MP, Processador Quad-Core e 2GB de RAM"	[[0.80100188]]
"Smartphone Samsung Galaxy S8+ Dual Chip Android 7.0 Tela 6.2"" Octa-Core 2.3 GHz 64GB Câmera 12MP - Ametista"	"Smartphone Samsung Galaxy S8 Plus Dual Chip Prata com 64GB, Tela 6.2"", Android 7.0, 4G, Câmera 12MP e Octa-Core"	[[0.87671401]]
